fecha_venta,hora_venta,Producto,Valor_sugerido,venta_final,venta_inventario,valor_compra,contribucion,Comprador,fecha_ingreso_inventario,NOMBRE,sexo_producto,color_prenda,talla_prenda,proveedor,OBSERVACIONES
2022-05-31,1330,Gaban Negro Totas,89000,82000,,,,Mujer,,,,,,,
2022-05-31,1330,Blusa rosa Tulcan,66000,58000,,,,Mujer,,,,,,,
2022-06-01,1600,Blusa tejida caracol,59000,50000,,,,Mujer,,,,,,,
2022-06-02,1000,Gaban Murcielago,72000,60000,,,,Mujer,,,,,,,
2022-06-06,1400,Chaqueta Totas,93000,72500,,,,Hombre,,,,,,,
2022-06-06,1400,Chaqueta Totas,93000,72500,,,,Hombre,,,,,,,
2022-06-07,1000,Buso cuello alto Totas,69000,50000,,,,Mujer,,,,,,,
2022-06-06,1700,Chaqueta Totas,64000,53000,,,,Pareja,,,,,,,
2022-06-09,1100,Buso cierre Gamuza,64000,55000,,,,Hombre,,,,,,,
2022-06-09,1600,Buso cuello alto Totas,59000,55000,,,,Hombre,,,,,,,
2022-06-11,1630,Blusa a rayas,66000,55000,,,,Mujer,,,,,,,
2022-06-12,900,Blusa Gris Lisa,66000,60000,,,,Mujer,,,,,,,
2022-06-14,1100,Buzo Polar Azul,59000,55000,,,,Mujer,,,,,,,
2022-06-14,1100,Buzo Polar Azul,59000,50000,,,,Mujer,,,,,,,
2022-06-14,1200,1037,70000,60000,70000,38000,22000,Mujer,2022-06-07,SIGMA,HOMBRE,,,TOTAS,
2022-06-14,1300,Gaban Largo Totas,69000,60000,,,,Mujer,,,,,,,
2022-06-14,1700,Buzo Cuello Alto Totas,60000,55000,,,,Mujer,,,,,,,
2022-06-14,1700,1030,75000,70000,75000,42000,28000,Mujer,2022-06-07,MAJO,MUJER,,,TOTAS,
2022-06-14,1700,Buzo Rayas,60000,55000,,,,Mujer,,,,,,,
2022-06-14,1800,Buzo Canguro,60000,55000,,,,Mujer,,,,,,,
2022-06-14,1800,Blusa Murcielago,66000,60000,,,,Mujer,,,,,,,
2022-06-15,1200,1028,70000,65000,70000,38000,27000,Mujer,2022-06-07,ITALIA,HOMBRE,,,TOTAS,
2022-06-16,1000,1002,75000,65000,75000,41000,24000,Mujer,2022-06-07,ACUARELA,MUJER,,,TOTAS,
2022-06-16,1030,Buzo Palo de Rosa,60000,55000,,,,Mujer,,,,,,,
2022-06-16,1100,Buzo Rayado Azul,60000,50000,,,,Mujer,,,,,,,
2022-06-16,1130,1035,75000,67000,75000,41000,26000,Mujer,2022-06-07,SIENA,MUJER,,,TOTAS,
2022-06-17,1100,Gaban Murcielago,72000,68000,,,,Mujer,,,,,,,
2022-06-17,1700,Chaqueta XL Totas,93000,85000,,,,Hombre,,,,,,,
2022-06-18,1200,Buzo Escalera,60000,55000,,,,Mujer,,,,,,,
2022-06-18,1530,Buso Azul Chispiado,60000,50000,,,,Mujer,,,,,,,
2022-06-18,1530,Buzo Cuello Alto,60000,50000,,,,Mujer,,,,,,,
2022-06-20,1230,1036,38000,38000,70000,38000,0,Familia,2022-06-07,SIGMA,HOMBRE,NEGRO,U,TOTAS,
2022-06-21,1500,Chaqueta azul totas,62000,55000,,,,Mujer,,,,,,,
2022-06-21,1600,1006,70000,60000,70000,40000,20000,Mujer,2022-06-07,AURA,MUJER,,,TOTAS,
2022-06-23,1500,Buzo Verde,60000,60000,,,,Mujer,,,,,,,
2022-06-23,1530,Buzo Gris Claro Totas,68000,68000,,,,Hombre,,,,,,,
2022-06-23,1800,Saco Largo Ajedrez,72000,68000,,,,Mujer,,,,,,,
2022-06-24,1700,Camisera LuisFer,22000,22000,,,,Pareja,,,,,,,
2022-06-24,1730,Gaban Negro,78000,70000,,,,Mujer,,,,,,,
2022-06-25,,Buzo Totas Azul Oscuro,68000,60000,,,,Mujer,,,,,,,
2022-06-25,,Buzo Motoso Rosa,60000,50000,,,,Mujer,,,,,,,
2022-06-25,,Buzo Hilo Dama,60000,50000,,,,Mujer,,,,,,,
2022-06-25,,Buzo totas cuello alto,65000,60000,,,,Mujer,,,,,,,
2022-06-25,,Buzo hilo Hilo Dama,60000,50000,,,,Mujer,,,,,,,
2022-06-25,,Buzo Dama Rojo,60000,50000,,,,Mujer,,,,,,,
2022-06-25,,Saco Abierto,65000,65000,,,,Hombre,,,,,,,
2022-06-25,,Buzo Cuadrado Dama Totas,69000,60000,,,,Hombre,,,,,,,
2022-06-29,1230,0018,60000,55000,60000,34666,20334,Mujer,2022-06-01,BUZO CUELLO ALTO,MUJER,GRIS CLARO,U,TULCAN,
2022-06-29,1430,Buzo Blanco,60000,55000,,,,Mujer,,,,,,,
2022-06-29,1900,0038,70000,60000,70000,40000,20000,Mujer,2022-06-01,AVA,MUJER,NEGRO,U,TOTAS,
2022-05-23,,Gaban,60000,60000,,,,Familia,,,,,,,
2022-06-30,,1084,85000,85000,85000,60000,25000,Familia,2022-06-16,CHAQUETA,HOMBRE,NEGRO,M,TEJIDOS RICHARDS,VENDIDO DIANA
2022-06-30,,1077,15000,15000,20000,8300,6700,Familia,2022-06-16,BASICA,MUJER,NARANJA,S,ETANOL CAMISAS,VENDIDO AURA
